Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",11876,42725,1450,42278,36379,43007
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",325,46541,45,23564,2579,46401
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,32419,45,5397,325,40721
GriddedMappablePoint,"[-180, -90, 180, 90]",13850,7191299,1450,1302881,139692,9260382
GriddedMappablePoint,"[113, -43, 153, -10]",13850,7191299,1450,1302881,139692,9260382
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",13850,7191299,1450,1302881,139692,9260382
BoundMappablePoint,"[-180, -90, 180, 90]",14129,14079827,1450,1407932,140817,140796255
BoundMappablePoint,"[113, -43, 153, -10]",464,292429,45,31726,2860,2854067
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,65075,45,5678,325,580737
MappablePoint,"[-180, -90, 180, 90]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[113, -43, 153, -10]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",14129,14079827,1450,1407932,140817,140796255
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",8353,15121,1310,15013,14750,15234
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",325,16897,45,14118,2436,17156
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,16235,45,5114,325,18322
