Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0026249999999999997,0.294112,0.001481,0.039536999999999996,0.008048,3.70768
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0013549999999999999,0.014613,0.001279,0.004732999999999999,0.001813,0.342134
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001305,0.008202,0.0013269999999999998,0.0023639999999999998,0.001441,0.038426999999999996
GriddedMappablePoint,"[-180, -90, 180, 90]",0.003662,1.773877,0.00174,0.244831,0.0254,9.75755
GriddedMappablePoint,"[113, -43, 153, -10]",0.0036539999999999997,1.884021,0.0017289999999999999,0.244187,0.024866,9.728964
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003666,1.8205930000000001,0.001713,0.24348099999999998,0.024551,9.785238
BoundMappablePoint,"[-180, -90, 180, 90]",0.0028829999999999997,2.156659,0.001748,0.21548799999999999,0.016264,23.526481
BoundMappablePoint,"[113, -43, 153, -10]",0.001593,0.033332,0.001487,0.0049889999999999995,0.001931,0.430477
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001511,0.008768,0.001519,0.002179,0.022902,0.072893
MappablePoint,"[-180, -90, 180, 90]",0.002545,2.052287,0.001382,0.17890599999999998,0.015108,22.4987
MappablePoint,"[113, -43, 153, -10]",0.002533,2.062446,0.001356,0.178801,0.01571,23.016557
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002509,2.108306,0.001323,0.18262399999999998,0.014995,22.947292
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.00332,0.740966,0.002071,0.06759699999999999,0.0076419999999999995,8.569388
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001878,0.013963,0.001794,0.0048839999999999995,0.0023639999999999998,0.212532
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001805,0.006803,0.0018449999999999999,0.002888,0.0020109999999999998,0.026841999999999998
