Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.004337,0.784828,0.0030069999999999997,0.12053399999999999,0.014693,8.744032
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001444,0.020005,0.001374,0.0051849999999999995,0.001847,0.179669
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001392,0.008454999999999999,0.001389,0.0024519999999999998,0.0015119999999999999,0.063271
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00172,0.001996,0.001375,0.0015689999999999999,0.00146,0.004105999999999999
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00138,0.001857,0.001679,0.0019329999999999998,0.001444,0.002389
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001367,0.001478,0.001379,0.0015379999999999999,0.0014529999999999999,0.001826
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001375,0.001475,0.001365,0.001531,0.001452,0.00174
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0017,0.001465,0.001362,0.001496,0.001447,0.001705
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0033239999999999997,0.685716,0.002335,0.061756,0.007232,8.532206
GriddedMappablePoint,"[113, -43, 153, -10]",0.004266,0.848984,0.001794,0.154378,0.02366,8.708809
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0038,1.5883509999999998,0.00207,0.221799,0.024342,8.774199
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0038369999999999997,2.808026,0.0018709999999999998,0.279356,0.024701999999999998,29.509455
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003934,2.861875,0.0020759999999999997,0.278458,0.02523,30.810885
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003832,2.973437,0.0017959999999999999,0.287193,0.025103999999999998,33.068653
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0038299999999999996,3.004445,0.0017779999999999998,0.28752,0.044587999999999996,32.745363
