Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0020759999999999997,0.20713499999999999,0.001664,0.038449,0.0046429999999999996,2.300839
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.004504,0.20174999999999998,0.002192,0.251425,0.018128,2.196141
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0023339999999999997,0.42367,0.00157,0.017564,0.006562,4.97123
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002079,0.005201,0.001438,0.001993,0.0016049999999999999,0.014601
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001393,0.002091,0.0013599999999999999,0.001431,0.0015199999999999999,0.007532
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013989999999999999,0.001447,0.001367,0.001433,0.001467,0.002068
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001382,0.001438,0.001366,0.001754,0.00199,0.001612
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0018809999999999999,0.001419,0.0014349999999999999,0.0017779999999999998,0.0014089999999999999,0.001699
GriddedMappablePoint,"[-180, -90, 180, 90]",0.002345,0.638976,0.0018759999999999998,0.053710999999999995,0.005063,8.142467
GriddedMappablePoint,"[113, -43, 153, -10]",0.00485,0.920211,0.002113,0.06620899999999999,0.010400999999999999,8.09474
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.005752999999999999,0.7204539999999999,0.0020889999999999997,0.08236099999999999,0.022979,8.058333
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00632,2.539615,0.002033,0.414157,0.044728,10.300223
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.006327999999999999,4.739075,0.002041,0.46390499999999996,0.045952,24.152945
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.006456,5.295395,0.002129,0.462051,0.044427999999999995,57.151483
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.006327999999999999,5.321778,0.002051,0.485239,0.045627,56.486408
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.006372,5.370639,0.002045,0.507648,0.045554,55.03475
BoundMappablePoint,"[-180, -90, 180, 90]",0.006388,4.327131,0.002091,0.40868099999999996,0.034464,45.750019
BoundMappablePoint,"[113, -43, 153, -10]",0.006046,4.337482,0.0025529999999999997,0.407232,0.034899,44.895094
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002571,0.824307,0.00182,0.070377,0.008865,9.115384
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002315,0.005948999999999999,0.0031839999999999998,0.002418,0.0019039999999999999,0.040791
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0016539999999999999,0.002029,0.001614,0.001665,0.002162,0.006437999999999999
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002111,0.002042,0.002111,0.001638,0.001697,0.002104
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002245,0.001966,0.002126,0.001619,0.0016339999999999998,0.001825
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0016879999999999998,0.001604,0.00164,0.001619,0.002238,0.002128
MappablePoint,"[-180, -90, 180, 90]",0.006245,4.326902,0.001769,2.265221,0.036171999999999996,44.589899
MappablePoint,"[113, -43, 153, -10]",0.004948999999999999,4.34527,0.001661,0.391796,0.035470999999999996,44.49076
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0049299999999999995,4.253881,0.002317,0.391991,0.035516,45.653187
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0050279999999999995,4.358476,0.001622,0.38887,0.034663,45.013119
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.004977,4.414159,0.001656,0.393171,0.034811,44.313422
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.005039,4.263181,0.0021579999999999998,0.36353599999999997,0.035024,63.540264
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.005003,4.282552,0.001651,0.36313599999999996,0.034408,46.050179
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0050219999999999996,4.337537,0.0021449999999999998,0.404107,0.062585,45.29899
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.00274,0.709778,0.0021739999999999997,0.059114,0.005279,8.634506
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.005379,0.754415,0.002493,0.071472,0.010646,8.805295
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003539,0.146747,0.0026179999999999997,0.01573,0.0065119999999999996,1.5801370000000001
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0020529999999999997,0.005509,0.00195,0.00278,0.0020529999999999997,0.010556999999999999
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001923,0.00251,0.0019249999999999998,0.002019,0.002002,0.005568
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002412,0.00197,0.002343,0.001937,0.002379,0.002411
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0019379999999999998,0.001942,0.0019199999999999998,0.002316,0.0019069999999999998,0.002388
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002402,0.0019119999999999999,0.002423,0.0019459999999999998,0.0022229999999999997,0.002048
