Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0038529999999999997,0.24473799999999998,0.003194,0.038424,0.007337,2.653093
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0037229999999999997,0.5364059999999999,0.001565,0.064576,0.011602,6.182612
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002035,0.049116,0.0014759999999999999,0.013279,0.004421,0.39044199999999996
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001485,0.003932,0.001364,0.002242,0.001648,0.013909
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0013549999999999999,0.001861,0.001774,0.001446,0.0014889999999999999,0.005489
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013759999999999998,0.001455,0.001352,0.001738,0.001911,0.002182
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001353,0.0013939999999999998,0.001357,0.001402,0.00139,0.0023309999999999997
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0013859999999999999,0.00138,0.001353,0.00137,0.001372,0.001584
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0025299999999999997,0.663014,0.002163,0.054366,0.005083,8.269174
GriddedMappablePoint,"[113, -43, 153, -10]",0.004272,0.720138,0.0018579999999999998,0.06770899999999999,0.008163,8.593903
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003968,0.701859,0.001825,0.072698,0.015451,8.038047
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004214,1.6292369999999998,0.001797,0.259988,0.026980999999999998,9.410453
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.004164,2.7280889999999998,0.0017989999999999998,0.275236,0.028048999999999998,17.193077
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.004029,3.223997,0.001802,0.284252,0.027975999999999997,33.811726
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.004079,3.097854,0.0017989999999999998,0.283,0.027611999999999998,33.489791
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.004163,3.135012,0.0018039999999999998,0.284529,0.027933,33.32814
BoundMappablePoint,"[-180, -90, 180, 90]",0.003688,2.574674,0.002253,0.269429,0.017936999999999998,24.778846
BoundMappablePoint,"[113, -43, 153, -10]",0.003153,2.157713,0.0018,0.222412,0.017556,24.025246
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002043,0.394343,0.0016829999999999998,0.035560999999999995,0.005673,4.420758
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0019509999999999998,0.004467,0.001738,0.0027359999999999997,0.002227,0.027371
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00166,0.0018369999999999999,0.0016099999999999999,0.0016979999999999999,0.001794,0.0048969999999999994
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001658,0.00173,0.001611,0.001616,0.001653,0.002092
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001689,0.0016229999999999999,0.0016279999999999999,0.0016339999999999998,0.001638,0.0017729999999999998
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001794,0.0016209999999999998,0.001607,0.001624,0.0016079999999999998,0.001831
MappablePoint,"[-180, -90, 180, 90]",0.003165,3.306338,0.0018089999999999998,0.21890099999999998,0.017383,24.755094
MappablePoint,"[113, -43, 153, -10]",0.0027689999999999998,2.12146,0.00149,0.191376,0.017696,23.179341
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002828,2.160407,0.0014089999999999999,0.19161299999999998,0.017865,23.203336
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002774,2.106132,0.001413,0.193106,0.017498,23.112002
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002753,2.152609,0.001413,0.19042599999999998,0.017592999999999998,23.128286
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003341,2.188472,0.0014739999999999998,0.190881,0.01739,23.099683
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0028859999999999997,2.116066,0.00142,0.192248,0.017394,23.168148
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002846,2.112725,0.001437,0.190603,0.017445,23.262559
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.003015,0.7225079999999999,0.002534,0.060362,0.005752,8.680796
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.005351,0.740862,0.0027919999999999998,0.06902599999999999,0.007967,8.308388
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00259,0.141732,0.0020759999999999997,0.013829,0.005196999999999999,1.5790549999999999
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001992,0.004497999999999999,0.001921,0.002977,0.001979,0.015619
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002435,0.0024679999999999997,0.003084,0.0020269999999999997,0.002999,0.004014
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001916,0.002386,0.001908,0.001936,0.001916,0.002253
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002397,0.001949,0.002355,0.0019119999999999999,0.0023669999999999997,0.002009
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001919,0.035001,0.0019349999999999999,0.0019399999999999999,0.00187,0.002051
