Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0018479999999999998,0.19372599999999998,0.001462,0.034755,0.004190999999999999,2.26707
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0030949999999999997,0.19306099999999998,0.001491,0.036626,0.009235,1.978238
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0018549999999999999,0.044475,0.0014219999999999999,0.013089,0.0037549999999999997,0.325291
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001406,0.003339,0.001364,0.001686,0.001447,0.0113
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001353,0.001836,0.0013779999999999999,0.001392,0.001415,0.005251
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013499999999999999,0.001389,0.001333,0.0013959999999999999,0.0014169999999999999,0.001921
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001323,0.001977,0.001325,0.001346,0.0013319999999999999,0.001553
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001325,0.0013579999999999998,0.001374,0.0013289999999999999,0.001354,0.001544
GriddedMappablePoint,"[-180, -90, 180, 90]",0.002095,0.614501,0.0022559999999999998,0.053541,0.004775,8.140069
GriddedMappablePoint,"[113, -43, 153, -10]",0.003424,0.691109,0.001802,0.068974,0.008069999999999999,8.063631
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003987,0.716035,0.002226,0.072564,0.015236,8.053971
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004262,1.5772149999999998,0.0017859999999999998,0.271382,0.025962,9.30697
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00406,2.601609,0.0022199999999999998,0.299517,0.026574,16.310919
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.004043,3.086547,0.001797,0.30372499999999997,0.026418999999999998,33.399191
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0041659999999999996,3.081642,0.0017809999999999998,0.299048,0.026417,32.931427
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.004226,3.038951,0.002242,0.27425,0.026491999999999998,33.55688
BoundMappablePoint,"[-180, -90, 180, 90]",0.00358,2.161404,0.001784,0.192555,0.017218999999999998,23.530415
BoundMappablePoint,"[113, -43, 153, -10]",0.003609,2.157822,0.0017389999999999999,0.191498,0.018092999999999998,24.084486
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002043,0.41672,0.0017679999999999998,0.034233,0.005516,4.505318
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0016799999999999999,0.0035859999999999998,0.001604,0.001919,0.001754,0.021376
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001593,0.001954,0.001578,0.001937,0.0016339999999999998,0.004194
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001598,0.0015999999999999999,0.0015789999999999999,0.001602,0.001622,0.001963
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001656,0.00157,0.0015999999999999999,0.0015739999999999999,0.0015639999999999999,0.0017879999999999999
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001611,0.001562,0.001588,0.001911,0.001545,0.0017499999999999998
MappablePoint,"[-180, -90, 180, 90]",0.003145,2.216735,0.001431,0.217641,0.016996999999999998,22.994719
MappablePoint,"[113, -43, 153, -10]",0.00274,2.141562,0.0013729999999999999,0.21753899999999998,0.017214,22.978034
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0027559999999999998,2.132764,0.001371,0.21343099999999998,0.016996999999999998,22.926969
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0029939999999999997,2.061938,0.00137,0.21110399999999999,0.017235999999999998,22.730194
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003183,2.028578,0.001469,0.20982699999999999,0.017001,23.126951
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002947,2.129535,0.0014039999999999999,0.208114,0.017065999999999998,23.054136
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002748,2.121439,0.001377,0.212223,0.017242,22.280994
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002933,2.110353,0.001398,0.184996,0.017325999999999998,22.816892
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0025269999999999997,0.731915,0.002031,0.064454,0.0056229999999999995,8.232003
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0038659999999999996,0.7585259999999999,0.0021969999999999997,0.068997,0.008104,8.703573
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00248,0.145872,0.002012,0.013453,0.004445,1.591164
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0019779999999999997,0.004225,0.0018729999999999999,0.0028109999999999997,0.00197,0.008846999999999999
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001898,0.0022429999999999998,0.0019,0.0019399999999999999,0.001934,0.003928
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0018729999999999999,0.001952,0.001877,0.001878,0.0018629999999999999,0.002242
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001885,0.0018759999999999998,0.0019149999999999998,0.0018729999999999999,0.001861,0.001985
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001874,0.001924,0.0018599999999999999,0.001875,0.001816,0.002036
