Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",2,2,2,2,2,2
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",2,2,2,2,2,2
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4,4,4,4,4,4
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",78,198,10,198,192,198
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14,345,1,337,115,345
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,560,0,69,3,5791
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,16,0,1,0,162
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,1
GriddedMappablePoint,"[-180, -90, 180, 90]",1,1,1,1,1,1
GriddedMappablePoint,"[113, -43, 153, -10]",4,4,3,4,4,4
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4,4,3,4,4,4
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",60,126,9,119,112,126
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",95,828,10,825,572,828
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,100000,10,10000,1000,999999
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,999999
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,999999
BoundMappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,999999
BoundMappablePoint,"[113, -43, 153, -10]",57,59925,8,6086,592,597389
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",81,84624,9,8517,859,846485
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,100000,10,10000,1000,999999
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14,12596,1,1252,132,125386
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,560,0,69,3,5791
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,16,0,1,0,162
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,1
MappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,999999
MappablePoint,"[113, -43, 153, -10]",100,100000,10,10000,1000,999999
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",100,100000,10,10000,1000,999999
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,100000,10,10000,1000,999999
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",100,100000,10,10000,1000,999999
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,100000,10,10000,1000,999999
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,999999
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,999999
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",1,1,1,1,1,1
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",2,2,2,2,2,4
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4,4,3,4,4,4
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",60,126,9,119,112,126
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",13,117,1,114,74,117
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,560,0,69,3,5791
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,16,0,1,0,162
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,1
