Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",84,299,10,298,258,299
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",2,330,0,167,18,327
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0,230,0,38,2,287
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0,6,0,0,0,31
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,4,0,0,0,3
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,0
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
GriddedMappablePoint,"[-180, -90, 180, 90]",59,105,9,105,104,105
GriddedMappablePoint,"[113, -43, 153, -10]",98,5151,10,4360,900,5151
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",99,23449,10,8152,978,23870
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,97782,10,9975,1000,810639
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",100,99728,10,9997,1000,973513
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,99985,10,10000,1000,998708
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,999978
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,1000000
BoundMappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,1000000
BoundMappablePoint,"[113, -43, 153, -10]",3,2077,0,225,20,20273
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0,462,0,40,2,4125
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0,6,0,0,0,33
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,4,0,0,0,3
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,0
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
MappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,1000000
MappablePoint,"[113, -43, 153, -10]",100,100000,10,10000,1000,1000000
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",100,100000,10,10000,1000,1000000
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,100000,10,10000,1000,1000000
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",100,100000,10,10000,1000,1000000
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,100000,10,10000,1000,1000000
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,1000000
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,1000000
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",59,105,9,105,104,105
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",2,119,0,100,17,120
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0,115,0,36,2,129
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0,6,0,0,0,27
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,4,0,0,0,3
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,0
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
