Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",1456,1773,747,1756,1749,1785
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",12140,48575,1452,48241,44951,48924
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",3278,40863,325,40373,20041,41169
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",184,10175,45,2012,325,15037
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,1309,45,45,184,14686
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,747
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
GriddedMappablePoint,"[-180, -90, 180, 90]",1029,1339,465,1329,1322,1348
GriddedMappablePoint,"[113, -43, 153, -10]",9895,17208,1452,17096,16567,17300
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",13125,74971,1452,74415,60295,75463
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14111,5828023,1452,1264822,138722,6674561
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14111,12365714,1452,1391277,140838,49641398
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14111,13992401,1452,1407601,140838,132178018
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14111,14075309,1452,1407882,140838,140566004
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14111,14077985,1452,1407882,140838,140777390
BoundMappablePoint,"[-180, -90, 180, 90]",14111,14077985,1452,1407882,140838,140777390
BoundMappablePoint,"[113, -43, 153, -10]",14111,14077985,1452,1407882,140838,140777390
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",3278,2839483,325,287667,30165,28238993
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",184,16796,45,2012,325,163069
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,1309,45,45,184,18490
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,747
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
MappablePoint,"[-180, -90, 180, 90]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[113, -43, 153, -10]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14111,14077985,1452,1407882,140838,140777390
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14111,14077985,1452,1407882,140838,140777390
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",1029,1338,465,1330,1322,1348
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",9895,17203,1452,17094,16567,17300
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",3137,17148,325,16467,12573,17261
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",184,8063,45,2012,325,10373
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,1309,45,45,184,8633
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,747
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
