Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001722,0.341397,0.0016029999999999998,0.028076,0.0039369999999999995,2.243081
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0025399999999999997,0.21026799999999998,0.001931,0.034978999999999996,0.009604,0.040388
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001692,0.0458,0.001364,0.010752999999999999,0.003505,0.006222
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001374,0.003083,0.001317,0.001607,0.0014089999999999999,0.016624
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001297,0.0017569999999999999,0.0013,0.001362,0.001393,0.004436
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001297,0.380387,0.0013139999999999998,0.001333,0.0013549999999999999,0.001838
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001305,0.001344,0.001619,0.001284,0.0013109999999999999,0.001534
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001328,0.001323,0.0013089999999999998,0.0013059999999999999,0.0013109999999999999,0.0015639999999999999
GriddedMappablePoint,"[-180, -90, 180, 90]",0.001896,0.623145,0.001591,0.054188,0.004659,8.417591999999999
GriddedMappablePoint,"[113, -43, 153, -10]",0.003094,0.663679,0.0017079999999999999,0.058487,0.006823,7.79583
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0037099999999999998,0.674654,0.0017239999999999998,0.067364,0.013006,7.837564
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003656,1.995581,0.001687,0.257003,0.023566999999999998,9.002385
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003609,2.482637,0.001696,0.264074,0.024059999999999998,15.750286
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003629,2.803128,0.00171,0.27241,0.043764,28.372701
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003637,2.762153,0.001713,0.26567199999999996,0.023707,30.504132
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0036079999999999997,2.922183,0.0016829999999999998,0.276337,0.024051,31.429219
BoundMappablePoint,"[-180, -90, 180, 90]",0.002817,2.0601,0.0018269999999999998,0.182273,0.015498,22.882477
BoundMappablePoint,"[113, -43, 153, -10]",0.002835,1.9935049999999999,0.001656,0.179172,0.015825,22.740864
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001844,0.38225499999999996,0.0015639999999999999,0.031272,0.004568,4.382218
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0015789999999999999,0.003181,0.0015249999999999999,0.001805,0.001609,0.019082
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001552,0.001743,0.0015199999999999999,0.0015539999999999998,0.0016029999999999998,0.003594
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0015099999999999998,0.0015769999999999998,0.0015119999999999999,0.0015229999999999998,0.0018059999999999999,0.0018449999999999999
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001527,0.0015099999999999998,0.0015229999999999998,0.0015149999999999999,0.001558,0.0016979999999999999
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001539,0.001514,0.0015069999999999999,0.0015229999999999998,0.001536,0.0016719999999999999
MappablePoint,"[-180, -90, 180, 90]",0.002444,2.030687,0.001441,0.20507699999999998,0.014931,22.360109
MappablePoint,"[113, -43, 153, -10]",0.0024779999999999997,2.020174,0.0013239999999999999,0.193054,0.037021,22.046552
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002493,1.9585460000000001,0.001307,0.19147899999999998,0.014893,22.564007
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0026639999999999997,2.015236,0.001359,0.173613,0.014837999999999999,22.162335
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00247,2.018073,0.00131,0.173362,0.014922999999999999,22.479037
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002499,1.970648,0.001357,0.173895,0.014997,22.112461
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002473,2.018298,0.001354,0.174283,0.014889999999999999,22.249797
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002454,2.012962,0.001336,0.173559,0.014872999999999999,22.128147
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002287,0.6949369999999999,0.0018969999999999998,0.058922999999999996,0.005287,8.17485
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0034119999999999997,0.70805,0.0020469999999999998,0.063163,0.007748,8.581484
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002325,0.134371,0.001865,0.011649999999999999,0.004314,1.544567
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001857,0.003427,0.001769,0.0021999999999999997,0.00199,0.008428999999999999
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0018009999999999999,0.002124,0.0017859999999999998,0.001821,0.001957,0.003846
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.00182,0.001852,0.001795,0.00213,0.001888,0.002258
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0017959999999999999,0.001828,0.0018039999999999998,0.0018089999999999998,0.0018809999999999999,0.002021
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001779,0.0017989999999999998,0.001784,0.0018,0.0018529999999999998,0.002009
