Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",102,102,103,103,102,102
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",101,103,103,102,102,102
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",187,187,186,186,186,184
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",3283,8294,439,8296,8036,8291
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",603,14438,61,14098,4829,14442
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,23414,20,2899,145,241930
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,689,20,61,20,6785
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,61
GriddedMappablePoint,"[-180, -90, 180, 90]",61,61,61,61,61,61
GriddedMappablePoint,"[113, -43, 153, -10]",184,186,145,185,185,186
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",187,186,145,185,185,185
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",2532,5284,397,4999,4689,5290
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",3989,34619,439,34493,23924,34627
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4199,663882,439,310487,40141,668413
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4199,3879632,439,414971,41645,21611997
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4199,4177892,439,417813,41770,41777387
BoundMappablePoint,"[-180, -90, 180, 90]",4199,4177892,439,417813,41770,41777387
BoundMappablePoint,"[113, -43, 153, -10]",2399,2503451,355,254250,24739,24956736
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",3402,3535433,397,355839,35887,35363635
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4199,4177892,439,417813,41770,41777387
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",603,526247,61,52319,5537,5238348
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,23414,20,2899,145,241930
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,689,20,61,20,6785
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,61
MappablePoint,"[-180, -90, 180, 90]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[113, -43, 153, -10]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4199,4177892,439,417813,41770,41777387
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4199,4177892,439,417813,41770,41777387
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",61,59,61,61,61,61
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",101,103,103,101,102,186
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",187,187,145,186,187,187
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",2532,5277,397,5002,4689,5290
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",561,4911,61,4778,3113,4905
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,4322,20,2231,145,4363
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,689,20,61,20,3941
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,61
