Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001495,0.051240999999999995,0.001374,0.008591,0.002415,0.412784
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.00145,0.032539,0.0013679999999999999,0.0060739999999999995,0.002,0.289586
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001536,0.044354,0.0014039999999999999,0.007761,0.002881,0.36838099999999996
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002346,0.054626999999999995,0.001748,0.010935,0.006816999999999999,0.411167
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001828,0.013852,0.001344,0.006777,0.002901,0.090513
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.00131,0.008872,0.001304,0.002399,0.0014169999999999999,0.07890599999999999
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013269999999999998,0.0017029999999999999,0.001294,0.0014169999999999999,0.00133,0.004012
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0016099999999999999,0.001357,0.001313,0.001444,0.0013139999999999998,0.00147
GriddedMappablePoint,"[-180, -90, 180, 90]",0.00173,0.391182,0.001619,0.038808999999999996,0.004441,3.935343
GriddedMappablePoint,"[113, -43, 153, -10]",0.001844,0.616001,0.00157,0.053094999999999996,0.004586,7.466939
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00187,0.613617,0.001586,0.055742,0.004482,7.667964
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0029219999999999997,0.6666829999999999,0.001692,0.058855,0.0069039999999999995,7.911757
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003565,0.687417,0.0017369999999999998,0.073326,0.016007999999999998,7.864513
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0036479999999999998,1.028532,0.0017259999999999999,0.202454,0.023621,8.325988
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0036599999999999996,2.638144,0.001699,0.249737,0.024031999999999998,19.683249
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003637,3.005785,0.0017,0.259635,0.024208999999999998,32.206054
BoundMappablePoint,"[-180, -90, 180, 90]",0.002879,2.047765,0.001758,0.185049,0.015837999999999998,23.387354
BoundMappablePoint,"[113, -43, 153, -10]",0.002301,1.20773,0.001655,0.09597299999999999,0.009944999999999999,14.07094
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002678,1.748307,0.001684,0.158299,0.013784,19.604922
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002889,2.087354,0.001774,0.18414799999999998,0.015785,22.933592
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001769,0.22078599999999998,0.0015689999999999999,0.019691,0.00348,2.75085
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001532,0.010738,0.0015379999999999999,0.002583,0.001735,0.126102
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001536,0.001844,0.001535,0.001854,0.001664,0.0042639999999999996
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001516,0.0018039999999999998,0.001549,0.001544,0.0016439999999999998,0.001811
MappablePoint,"[-180, -90, 180, 90]",0.002508,2.019745,0.001328,0.177697,0.015356999999999999,23.203338
MappablePoint,"[113, -43, 153, -10]",0.00251,2.058041,0.001326,0.178733,0.015462,22.897489
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002541,2.05309,0.001328,0.177586,0.015892,23.074878
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00249,2.9666829999999997,0.0013189999999999999,0.17773699999999998,0.015151999999999999,23.074568
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002498,3.015116,0.00133,0.200925,0.015304,22.755131
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002536,3.008686,0.00132,0.20007999999999998,0.015488,22.717418
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002513,2.881278,0.001354,0.198758,0.015264,22.96102
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0025009999999999998,2.058031,0.001351,0.19708799999999999,0.015132,23.279249
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0021609999999999997,0.48073,0.001861,0.044496,0.005196999999999999,5.183991
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002052,0.37188899999999997,0.001913,0.031731999999999996,0.003981,4.010628
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0021869999999999997,0.578804,0.001929,0.053591,0.004801,6.844679
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00333,0.720734,0.002313,0.063201,0.00762,8.427179
