Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",3536,12558,436,12499,10815,12566
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",103,13811,20,7007,773,13677
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,9625,20,1611,103,12010
GriddedMappablePoint,"[-180, -90, 180, 90]",4124,2135016,436,386731,41462,2731298
GriddedMappablePoint,"[113, -43, 153, -10]",4124,2135016,436,386731,41462,2731298
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4124,2135016,436,386731,41462,2731298
BoundMappablePoint,"[-180, -90, 180, 90]",4205,4179969,436,417928,41795,41797983
BoundMappablePoint,"[113, -43, 153, -10]",143,86782,20,9427,856,847016
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,19313,20,1694,103,172338
MappablePoint,"[-180, -90, 180, 90]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[113, -43, 153, -10]",4205,4179969,436,417928,41795,41797983
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4205,4179969,436,417928,41795,41797983
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",2488,4435,395,4426,4378,4453
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",103,4992,20,4194,729,5034
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",20,4822,20,1526,103,5416
