Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.005111,0.381206,0.001756,0.045682,0.012717,8.212023
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001486,0.024419,0.001789,0.008107999999999999,0.0021709999999999998,1.47939
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001413,0.012728999999999999,0.0013909999999999999,0.003142,0.001629,0.044738
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00146,0.002118,0.0014169999999999999,0.0015719999999999998,0.00146,0.004483
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001384,0.001787,0.001395,0.00157,0.001482,0.002451
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001735,0.0014969999999999998,0.001389,0.001548,0.001472,0.0018269999999999998
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001384,0.00148,0.001372,0.001539,0.0014789999999999998,0.001758
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0013959999999999999,0.001469,0.001385,0.001504,0.0014629999999999999,0.0017549999999999998
GriddedMappablePoint,"[-180, -90, 180, 90]",0.004018,0.752348,0.0019879999999999997,0.067822,0.008832999999999999,8.649185
GriddedMappablePoint,"[113, -43, 153, -10]",0.005358,0.900133,0.001999,0.236513,0.037218999999999995,8.291716
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.005399,1.6728290000000001,0.001995,0.378351,0.04,9.267905
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.00564,4.912801,0.001995,0.45195199999999996,0.040829,44.601302
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.005627,5.028052,0.002003,0.457178,0.040916,51.888539
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.005986,5.187717,0.001987,0.4609,0.040458,55.075048
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.005599,5.18681,0.0019779999999999997,0.45631499999999997,0.041568999999999995,54.224583
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.005608,5.176556,0.001972,0.454103,0.040938999999999996,54.658012
BoundMappablePoint,"[-180, -90, 180, 90]",0.005555,4.270437,0.002013,0.38959,0.032722,46.003258
BoundMappablePoint,"[113, -43, 153, -10]",0.0017729999999999998,0.06997199999999999,0.002029,0.008884999999999999,0.0023439999999999997,0.7803359999999999
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001969,0.016316999999999998,0.001624,0.002933,0.001821,0.138788
