Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002639,0.38894,0.0015199999999999999,0.045266999999999995,0.007998,3.771646
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001403,0.419282,0.001344,0.004798,0.0017779999999999998,0.183889
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0013579999999999998,0.008084,0.0013469999999999999,0.002384,0.0015379999999999999,0.03855
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001372,0.001947,0.0013449999999999998,0.001539,0.001761,0.0038039999999999997
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001346,0.001627,0.0013319999999999999,0.001532,0.001431,0.002343
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001328,0.0018859999999999999,0.00134,0.0015019999999999999,0.001428,0.002928
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001339,0.0014449999999999999,0.001352,0.0014889999999999999,0.001423,0.001617
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001328,0.001434,0.001336,0.0014709999999999999,0.001787,0.00162
GriddedMappablePoint,"[-180, -90, 180, 90]",0.00294,0.6764749999999999,0.001745,0.060084,0.0066489999999999995,8.281416
GriddedMappablePoint,"[113, -43, 153, -10]",0.00365,0.8240729999999999,0.001759,0.156057,0.021941,8.202208
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0038439999999999998,1.184085,0.0017419999999999998,0.21209499999999998,0.023452,8.752359
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0036769999999999997,2.701893,0.001794,0.246697,0.023783,25.991112
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003669,2.79532,0.001772,0.24839499999999998,0.023812999999999997,29.166993
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0036569999999999997,2.9469209999999997,0.0017499999999999998,0.25725,0.024135999999999998,32.051596
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003659,3.036145,0.001735,0.256869,0.024447,31.82806
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003662,2.943902,0.0017159999999999999,0.256864,0.024037,31.667975
BoundMappablePoint,"[-180, -90, 180, 90]",0.002924,2.025757,0.001751,0.18312199999999998,0.015449,23.741092
BoundMappablePoint,"[113, -43, 153, -10]",0.001692,0.035016,0.001575,0.004827,0.001947,0.42328
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0015869999999999999,0.008646,0.001565,0.002204,0.001713,0.071528
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0015769999999999998,0.0019119999999999999,0.001586,0.001593,0.001665,0.002683
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001589,0.001859,0.001586,0.0015739999999999999,0.001661,0.0020759999999999997
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001571,0.0017439999999999999,0.002472,0.001589,0.001658,0.001852
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001584,0.001718,0.001586,0.001593,0.001653,0.0018709999999999998
