Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",10,12,5,12,12,12
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",86,340,10,340,319,340
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",23,288,2,286,142,288
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",1,72,0,14,2,106
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,9,0,0,1,104
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,5
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
GriddedMappablePoint,"[-180, -90, 180, 90]",7,9,3,9,9,9
GriddedMappablePoint,"[113, -43, 153, -10]",70,120,10,120,117,120
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",93,525,10,525,428,525
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,41398,10,8984,985,47080
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",100,87837,10,9882,1000,352619
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,100000,10,10000,1000,1000000
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,1000000
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,1000000
BoundMappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,1000000
BoundMappablePoint,"[113, -43, 153, -10]",100,100000,10,10000,1000,1000000
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",23,20169,2,2043,214,200593
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",1,119,0,14,2,1158
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,9,0,0,1,131
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,5
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
MappablePoint,"[-180, -90, 180, 90]",100,100000,10,10000,1000,1000000
MappablePoint,"[113, -43, 153, -10]",100,100000,10,10000,1000,1000000
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",100,100000,10,10000,1000,1000000
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",100,100000,10,10000,1000,1000000
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",100,100000,10,10000,1000,1000000
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",100,100000,10,10000,1000,1000000
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",100,100000,10,10000,1000,1000000
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",100,100000,10,10000,1000,1000000
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",7,9,3,9,9,9
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",70,120,10,120,117,120
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",22,120,2,116,89,120
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",1,57,0,14,2,73
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0,9,0,0,1,61
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0,0,0,0,0,5
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0,0,0,0,0,0
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0,0,0,0,0,0
