Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",437,522,228,517,522,522
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",3602,14211,438,14218,13346,14220
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",977,12038,103,11969,5959,12057
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",61,3023,20,602,103,4448
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,394,20,20,61,4366
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,228
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
GriddedMappablePoint,"[-180, -90, 180, 90]",309,396,144,395,396,396
GriddedMappablePoint,"[113, -43, 153, -10]",2941,5044,438,5044,4914,5036
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",3894,21970,438,21927,17899,21955
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4187,1729593,438,375382,41183,1966936
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",4187,3669827,438,412935,41814,14731952
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4187,4177961,438,417858,41814,41777366
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4187,4177961,438,417858,41814,41777366
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4187,4177961,438,417858,41814,41777366
BoundMappablePoint,"[-180, -90, 180, 90]",4187,4177961,438,417858,41814,41777366
BoundMappablePoint,"[113, -43, 153, -10]",4187,4177961,438,417858,41814,41777366
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",977,842728,103,85386,8955,8380262
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",61,4991,20,602,103,48403
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,394,20,20,61,5497
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,228
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
MappablePoint,"[-180, -90, 180, 90]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[113, -43, 153, -10]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",4187,4177961,438,417858,41814,41777366
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",4187,4177961,438,417858,41814,41777366
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",309,395,144,396,396,396
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",2941,5039,438,5042,4914,5036
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",935,5039,103,4863,3738,5028
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",61,2396,20,602,103,3065
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",20,394,20,20,61,2570
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",20,20,20,20,20,228
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",20,20,20,20,20,20
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",20,20,20,20,20,20
