Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001803,0.23407499999999998,0.0014759999999999999,0.033188999999999996,0.004468,2.270617
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002836,0.217745,0.001504,0.037475999999999995,0.00891,1.917155
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001774,0.043875,0.0013859999999999999,0.012621,0.0035459999999999997,0.372366
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001429,0.0031969999999999998,0.0013419999999999999,0.001655,0.001472,0.011073999999999999
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001326,0.0017929999999999999,0.001322,0.001395,0.001438,0.004709
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001352,0.002005,0.001334,0.001387,0.00139,0.0019349999999999999
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001313,0.001382,0.001338,0.001331,0.001375,0.001539
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0013419999999999999,0.0013629999999999998,0.001322,0.001696,0.0013499999999999999,0.0015459999999999998
GriddedMappablePoint,"[-180, -90, 180, 90]",0.002077,0.620321,0.0017439999999999999,0.055446999999999996,0.004778999999999999,7.976591
GriddedMappablePoint,"[113, -43, 153, -10]",0.003505,0.6913309999999999,0.0017929999999999999,0.062711,0.007605,8.076125
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003987,0.724163,0.0017879999999999999,0.071266,0.014459999999999999,8.031563
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0039059999999999997,1.5820759999999998,0.001735,0.314492,0.025528,9.209822
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003872,2.599333,0.001756,0.2549,0.025854,16.304894
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0038829999999999997,3.002938,0.0017519999999999999,0.302074,0.053005,31.860597
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003918,2.966958,0.001738,0.295801,0.025575999999999998,32.120845
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003822,3.018788,0.0017439999999999999,0.29549,0.025844,31.873848
BoundMappablePoint,"[-180, -90, 180, 90]",0.003204,2.055438,0.001816,0.18370799999999998,0.016080999999999998,22.71157
BoundMappablePoint,"[113, -43, 153, -10]",0.003132,2.018943,0.001745,0.185975,0.015934999999999998,23.207219
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00198,0.398816,0.001627,0.060150999999999996,0.004756,4.425289
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001945,0.0033659999999999996,0.0015999999999999999,0.0018399999999999998,0.001712,0.020735999999999997
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0015999999999999999,0.001794,0.001566,0.001622,0.001664,0.0038919999999999996
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0016129999999999999,0.0015999999999999999,0.00157,0.0015899999999999998,0.00162,0.0019549999999999997
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001616,0.00156,0.001597,0.001558,0.001568,0.001769
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0016029999999999998,0.00155,0.001568,0.001586,0.0015739999999999999,0.0017829999999999999
MappablePoint,"[-180, -90, 180, 90]",0.002626,2.02125,0.001388,0.19704,0.016255,22.48481
MappablePoint,"[113, -43, 153, -10]",0.002593,2.074094,0.001389,0.179855,0.016279,22.104197
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0025759999999999997,2.010736,0.001338,0.178035,0.043231,22.036844
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002598,2.096865,0.001341,0.178581,0.016559,22.160894
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00259,2.022357,0.001367,0.180022,0.016352,22.533235
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002927,2.013522,0.001437,0.209914,0.015915,22.70933
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002682,1.990682,0.001415,0.209106,0.016517999999999998,22.119772
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0025889999999999997,2.050752,0.001359,0.204677,0.016319,22.232184
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0025169999999999997,0.699151,0.002034,0.058995,0.0050149999999999995,8.475151
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.003707,0.7507159999999999,0.002248,0.071377,0.007993,8.687756
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002477,0.142509,0.001989,0.013590999999999999,0.004533,1.5755460000000001
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0019509999999999998,0.00378,0.0018759999999999998,0.002317,0.0019329999999999998,0.008988999999999999
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0019019999999999998,0.002215,0.0018679999999999999,0.0019299999999999999,0.002108,0.0038799999999999998
