Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0016339999999999998,0.05686,0.001522,0.008564,0.002512,0.414975
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002271,0.073435,0.0018709999999999998,0.011755,0.0033179999999999998,0.982441
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001679,0.044711,0.001557,0.0077919999999999994,0.002467,0.37279399999999996
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0037059999999999997,0.0612,0.0017209999999999999,0.014709999999999999,0.009136,0.520421
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0018709999999999998,0.020104999999999998,0.00145,0.017624,0.005013,0.913339
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001375,0.020586,0.001377,0.003581,0.001535,0.179386
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013629999999999998,0.0021999999999999997,0.001346,0.001501,0.001348,0.006881
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001384,0.001437,0.001365,0.001389,0.001346,0.001522
GriddedMappablePoint,"[-180, -90, 180, 90]",0.001875,0.337124,0.0016359999999999999,0.032663,0.004024,3.998506
GriddedMappablePoint,"[113, -43, 153, -10]",0.0026839999999999998,0.575226,0.0017059999999999998,0.050289,0.004241,7.577074
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002007,0.582823,0.001766,0.051946,0.004262,7.806749
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004023,0.67399,0.00198,0.064788,0.009101,8.000547
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.005252,0.708383,0.001993,0.08968899999999999,0.02633,7.906655
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.005676,5.265275,0.0019619999999999998,0.44567799999999996,0.042565,55.030861
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.005640999999999999,5.20109,0.001964,0.44464,0.041574,55.48275
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.005621999999999999,5.24831,0.001959,0.48578,0.041618999999999996,55.376442
BoundMappablePoint,"[-180, -90, 180, 90]",0.0052759999999999994,4.18066,0.001958,0.399022,0.033232,47.329739000000004
BoundMappablePoint,"[113, -43, 153, -10]",0.0033539999999999998,2.443439,0.002927,0.21737099999999998,0.019926,27.562519
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.004017,3.556498,0.001918,0.341092,0.028043,38.07793
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004595999999999999,4.271647,0.002255,0.402543,0.032778,45.344065
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002103,0.482506,0.0016699999999999998,0.040554,0.005828,5.526547
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001594,0.01943,0.001878,0.004055,0.0017779999999999998,0.22333699999999998
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001612,0.002583,0.001895,0.001859,0.001614,0.007018
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001602,0.001787,0.001584,0.0017809999999999998,0.0019099999999999998,0.0018659999999999998
MappablePoint,"[-180, -90, 180, 90]",0.004828,4.179769,0.001576,0.385424,0.033139999999999996,44.798985
MappablePoint,"[113, -43, 153, -10]",0.004396,4.300196,0.0015869999999999999,0.37917,0.032728,44.555793
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.004725,4.171117,0.002021,0.375413,0.032104,45.618171
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004435,4.228747,0.001578,0.37596799999999997,0.033222999999999996,44.551516
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.004373,4.141548,0.001573,0.37568599999999996,0.034709,45.538138000000004
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0043679999999999995,4.255553,0.001852,0.374175,0.045245999999999995,44.98722
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.004416,4.238602,0.001568,0.369095,0.031556,44.344719
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.004383,4.196919,0.001862,0.37130199999999997,0.031793,45.852885
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002261,0.42695299999999997,0.002003,0.038440999999999996,0.004724,4.557255
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002179,0.34096,0.002036,0.027628,0.003695,4.467612
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00266,0.535386,0.002842,0.049305999999999996,0.004589,7.011088
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.004683,0.737903,0.002323,0.06672299999999999,0.009642,8.553837
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0024579999999999997,0.08390099999999999,0.001979,0.011264999999999999,0.005104,1.166317
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0018679999999999999,0.081374,0.0021609999999999997,0.005011,0.002068,0.276385
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001882,0.002799,0.0018659999999999998,0.002009,0.0018809999999999999,0.008706
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001862,0.00209,0.002172,0.0022429999999999998,0.0018909999999999999,0.002168
