Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0030529999999999997,0.066838,0.002861,0.013481,0.004359,0.535955
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001504,0.033509,0.00141,0.0060019999999999995,0.002065,0.286693
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001573,0.045985,0.001454,0.007782,0.0023669999999999997,0.368689
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002444,0.061431,0.0015099999999999998,0.011535,0.004967,0.45902099999999996
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0016209999999999998,0.014185999999999999,0.001713,0.007038,0.003029,0.089423
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001388,0.009453999999999999,0.001365,0.002436,0.001481,0.082755
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013939999999999998,0.001741,0.001335,0.001467,0.001664,0.004612
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001393,0.001431,0.001348,0.001395,0.001353,0.001473
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0019909999999999997,0.385268,0.001745,0.034488,0.004412,4.187582
GriddedMappablePoint,"[113, -43, 153, -10]",0.0019099999999999998,0.5880409999999999,0.001633,0.050047999999999995,0.004157,7.676447
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0019149999999999998,0.5834779999999999,0.001642,0.051838999999999996,0.004163,7.815538
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003306,0.6742929999999999,0.001759,0.059986,0.008024,7.897121
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0037549999999999997,0.749008,0.001797,0.078938,0.016878,7.89832
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0038569999999999998,3.427542,0.001756,0.277235,0.025807999999999998,33.641318
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003858,3.053387,0.001769,0.273207,0.025778,36.270749
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0038499999999999997,3.055136,0.0017699999999999999,0.27436699999999997,0.025792,33.235401
BoundMappablePoint,"[-180, -90, 180, 90]",0.003116,2.673826,0.001872,0.20912499999999998,0.018042,30.705335
BoundMappablePoint,"[113, -43, 153, -10]",0.0024579999999999997,1.229218,0.00171,0.09816899999999999,0.010301,14.98117
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003006,1.7981150000000001,0.001738,0.16316899999999998,0.014202,19.961688
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003018,2.067721,0.001769,0.188862,0.016736,23.835144
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001821,0.232892,0.001656,0.021573,0.0035629999999999998,2.7156890000000002
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001594,0.011479999999999999,0.001578,0.002865,0.001699,0.129833
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0015719999999999998,0.0020759999999999997,0.001594,0.0018059999999999999,0.00162,0.004340999999999999
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001591,0.001772,0.001568,0.0017549999999999998,0.00162,0.001843
MappablePoint,"[-180, -90, 180, 90]",0.002778,2.55457,0.001513,0.28657299999999997,0.018105,31.162234
MappablePoint,"[113, -43, 153, -10]",0.002646,2.045646,0.001375,0.206144,0.016181,23.527907
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00264,2.109738,0.001413,0.204652,0.015964,23.265919
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002662,2.038193,0.0013939999999999998,0.203756,0.016118,23.067404
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002662,2.074814,0.00139,0.20324599999999998,0.017055,23.20964
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002643,2.050308,0.0013779999999999999,0.20338599999999998,0.016781,23.167287
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002662,2.040416,0.001387,0.183754,0.015865,23.000874
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002665,2.106249,0.001375,0.183798,0.016144,23.350149
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002329,0.434984,0.002058,0.042103999999999996,0.00528,4.502786
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0028959999999999997,0.39732399999999995,0.002258,0.032826,0.00415,4.487481
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00224,0.5276839999999999,0.002,0.049254,0.00456,7.4198699999999995
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0034379999999999997,0.738181,0.00214,0.06468299999999999,0.007809,8.540057000000001
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002224,0.083731,0.002208,0.009169,0.003919,1.048129
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002165,0.016707,0.001844,0.0036209999999999997,0.002005,6.288318
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0018479999999999998,0.002492,0.002179,0.002271,0.001896,0.006242999999999999
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0021709999999999998,0.0020729999999999998,0.001851,0.0018939999999999999,0.001849,0.002123
