Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001553,0.056471999999999994,0.001398,0.008442,0.002401,0.412616
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001473,0.032722999999999995,0.0013779999999999999,0.00599,0.002009,0.293739
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001553,0.044177999999999995,0.0014219999999999999,0.007653999999999999,0.0023469999999999997,0.37177699999999997
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002404,0.056027999999999994,0.001501,0.010985,0.004556999999999999,0.41272899999999996
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001596,0.013456,0.001361,0.007042,0.0029189999999999997,0.09038099999999999
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001665,0.009131,0.001318,0.0023569999999999997,0.001437,0.077398
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013449999999999998,0.00172,0.0013319999999999999,0.001414,0.001334,0.004053
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001334,0.001408,0.001307,0.001356,0.001304,0.001436
GriddedMappablePoint,"[-180, -90, 180, 90]",0.001777,0.335212,0.0019349999999999999,0.032534,0.003895,3.976995
GriddedMappablePoint,"[113, -43, 153, -10]",0.00187,0.572106,0.001609,0.049981,0.004125,7.586037
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001864,0.586059,0.0018989999999999999,0.051681,0.004177999999999999,7.785947
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002992,0.675828,0.001718,0.059465,0.006869999999999999,8.026065
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003643,0.69297,0.002006,0.07393,0.016489999999999998,7.892361
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0037099999999999998,2.961095,0.0017369999999999998,0.281652,0.024576,32.619594
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003718,2.99842,0.0017569999999999999,0.28215,0.02452,32.945933
