Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001499,0.055206,0.001366,0.009557,0.00242,0.455557
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0014629999999999999,0.032598999999999996,0.001365,0.005946,0.001997,0.29137599999999997
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.00154,0.044206999999999996,0.0014069999999999998,0.007666999999999999,0.0023409999999999998,0.375312
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002629,0.060964,0.001482,0.010848,0.0044919999999999995,0.457559
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0015559999999999999,0.013231999999999999,0.0013679999999999999,0.008414999999999999,0.002807,0.089086
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013289999999999999,0.0457,0.001313,0.002319,0.001415,3.9749749999999997
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013289999999999999,0.001707,0.001313,0.001772,0.001316,0.00394
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001673,0.001766,0.0013109999999999999,0.001343,0.001331,0.001473
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0017749999999999999,0.33436899999999997,0.001565,0.032527,0.003904,4.063005
GriddedMappablePoint,"[113, -43, 153, -10]",0.0018709999999999998,0.626327,0.0015999999999999999,0.054886,0.0046949999999999995,8.505617
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001862,0.5830649999999999,0.001687,0.051695,0.004175,7.780399
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0029319999999999997,0.674308,0.001714,0.059236,0.00681,7.924652
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0037749999999999997,0.693471,0.001762,0.073152,0.015931,14.004605
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0036469999999999996,2.97341,0.0017189999999999998,0.323549,0.024332,32.02096
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0036179999999999997,2.8803039999999998,0.0017189999999999998,0.280254,0.024385999999999998,31.628547
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003613,2.927857,0.00172,0.275966,0.024173999999999998,31.834616
BoundMappablePoint,"[-180, -90, 180, 90]",0.0028209999999999997,1.9730059999999998,0.0017109999999999998,0.241477,0.015441999999999999,22.612904
BoundMappablePoint,"[113, -43, 153, -10]",0.0022819999999999997,1.142912,0.001678,0.09074,0.009717,13.675329
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002608,1.6852049999999998,0.0017189999999999998,0.172336,0.013354999999999999,19.307443
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003096,1.986125,0.0017159999999999999,0.198038,0.015366999999999999,22.488769
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001772,0.24151699999999998,0.001594,0.019277,0.003368,2.600995
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0018579999999999998,0.009791,0.00153,0.002747,0.001681,0.139706
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001867,0.001997,0.0015559999999999999,0.001782,0.0015719999999999998,0.004287
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0015899999999999998,0.001735,0.001524,0.001722,0.001576,0.001807
MappablePoint,"[-180, -90, 180, 90]",0.0024519999999999998,1.932229,0.001339,0.176502,0.014917999999999999,22.322986
MappablePoint,"[113, -43, 153, -10]",0.00248,1.9821339999999998,0.0013369999999999999,0.172894,0.014946999999999998,22.353096999999998
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002434,1.9416259999999999,0.001331,0.172754,0.015314,22.127592
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002473,1.983576,0.001326,0.172667,0.014881,22.573556
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002469,1.943571,0.0013449999999999998,0.17294199999999998,0.01646,22.132987
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0024939999999999997,1.980492,0.00132,0.172763,0.057148,22.056552
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0024649999999999997,2.014667,0.001349,0.17116599999999998,0.014738999999999999,22.332167
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002473,1.946024,0.0013549999999999999,0.171197,0.014771999999999999,22.109099
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002142,0.42264399999999996,0.001921,0.038377,0.004625,4.574022
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002062,0.340814,0.001916,0.02753,0.003619,4.43824
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0022099999999999997,0.528465,0.001987,0.049603999999999995,0.004751,7.087815
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003338,0.734599,0.002075,0.06404599999999999,0.0077139999999999995,8.478143
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002216,0.08165399999999999,0.001971,0.008801,0.0040279999999999995,1.00578
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001813,0.015429,0.0018089999999999998,0.00347,0.001986,0.175399
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0018239999999999999,0.002764,0.0018139999999999999,0.001906,0.002147,0.005827
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0018,0.002032,0.001807,0.0018549999999999999,0.0018349999999999998,0.002093
