Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",11876,42725,1450,42278,36380,43007
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",325,46541,45,23564,2579,46401
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,32419,45,5397,325,40721
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",45,887,45,45,45,4408
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,607,45,45,45,466
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,45
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
GriddedMappablePoint,"[-180, -90, 180, 90]",8353,15121,1310,15013,14749,15234
GriddedMappablePoint,"[113, -43, 153, -10]",13850,730357,1450,613893,126748,735505
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",13990,3301900,1450,1147739,137722,3384428
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14129,13767556,1450,1404403,140817,114134625
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14129,14041534,1450,1407510,140817,137066948
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14129,14077722,1450,1407932,140817,140614320
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14129,14079827,1450,1407932,140817,140793158
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14129,14079827,1450,1407932,140817,140796255
BoundMappablePoint,"[-180, -90, 180, 90]",14129,14079827,1450,1407932,140817,140796255
BoundMappablePoint,"[113, -43, 153, -10]",464,292429,45,31726,2860,2854067
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,65075,45,5678,325,580737
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",45,887,45,45,45,4690
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,607,45,45,45,466
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,45
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
MappablePoint,"[-180, -90, 180, 90]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[113, -43, 153, -10]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14129,14079827,1450,1407932,140817,140796255
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14129,14079827,1450,1407932,140817,140796255
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",8353,15120,1310,15013,14750,15234
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",325,16897,45,14118,2436,17156
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",45,16235,45,5114,325,18322
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",45,887,45,45,45,3844
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",45,607,45,45,45,466
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,45,45,45,45,45
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,45,45,45,45,45
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,45
