Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.004340999999999999,0.8894719999999999,0.003061,0.092634,0.013842,2.962418
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001414,0.019399,0.001356,0.004955,0.0017499999999999998,0.018042
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001375,0.010097,0.001356,0.002353,0.0014969999999999998,0.054299
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001665,0.001895,0.0013419999999999999,0.001452,0.001367,0.00503
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001369,0.001718,0.001346,0.001811,0.001377,0.002211
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013469999999999999,0.0015019999999999999,0.001366,0.001433,0.001369,0.00196
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013549999999999999,0.001465,0.0013629999999999998,0.001426,0.001351,0.0016049999999999999
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001348,0.001455,0.001333,0.0014169999999999999,0.001367,0.001604
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0031569999999999997,0.6724319999999999,0.0022559999999999998,0.066038,0.0073219999999999995,8.136335
GriddedMappablePoint,"[113, -43, 153, -10]",0.004169,0.8591409999999999,0.0017519999999999999,0.173485,0.023247,8.783257
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003777,1.168993,0.0017599999999999998,0.22430799999999998,0.024787999999999998,8.609714
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0037979999999999997,2.81495,0.0017749999999999999,0.280253,0.024935,26.932467
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0038009999999999997,2.914978,0.001758,0.278648,0.025393,30.141857
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003797,2.873923,0.0017289999999999999,0.279672,0.024984,31.006189
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003833,2.899957,0.001754,0.280758,0.02528,30.998259
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003806,3.03942,0.001746,0.288802,0.025124,33.039339
BoundMappablePoint,"[-180, -90, 180, 90]",0.00313,2.817756,0.0021809999999999998,0.205972,0.017592999999999998,29.23722
BoundMappablePoint,"[113, -43, 153, -10]",0.0016129999999999999,0.036696,0.00153,0.005915999999999999,0.001887,0.472242
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001573,0.008961,0.0016519999999999998,0.002248,0.0016719999999999999,0.11587
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0015789999999999999,0.001843,0.001573,0.001602,0.001602,0.003012
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0015739999999999999,0.0018369999999999999,0.001581,0.001563,0.0016099999999999999,0.002116
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0015539999999999998,0.001665,0.001547,0.0015769999999999998,0.001601,0.0018969999999999998
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0015559999999999999,0.001651,0.0015589999999999998,0.0015819999999999999,0.001607,0.001893
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001575,0.0016409999999999999,0.001539,0.001593,0.0016079999999999998,0.001883
MappablePoint,"[-180, -90, 180, 90]",0.0027559999999999998,2.838679,0.0022429999999999998,0.19436599999999998,0.016576999999999998,28.809815
MappablePoint,"[113, -43, 153, -10]",0.002624,2.084625,0.0013729999999999999,0.185172,0.015835,23.624437
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002633,2.140226,0.0013629999999999998,0.18434499999999998,0.015766,23.741149
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002626,2.088524,0.001371,0.184646,0.016021,23.822799
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002655,2.129938,0.001374,0.209533,0.015854,23.485197
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002634,2.092494,0.001375,0.20729499999999998,0.015843,23.868479
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002611,2.06421,0.001403,0.20624399999999998,0.015723,23.810711
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0026019999999999997,2.089657,0.0013549999999999999,0.204294,0.016014999999999998,23.441681
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.003606,0.761193,0.0023109999999999997,0.068997,0.008146,8.211217
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0019379999999999998,0.014678,0.001841,0.004824,0.002297,0.22008799999999998
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002087,0.006554,0.0020599999999999998,0.00281,0.0019459999999999998,0.052315
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0018449999999999999,0.0022229999999999997,0.001813,0.001875,0.00187,0.00331
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001833,0.002492,0.0018,0.0021739999999999997,0.0018579999999999998,0.002852
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002104,0.00196,0.001811,0.001851,0.001839,0.002214
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001846,0.001971,0.001812,0.001857,0.0018549999999999999,0.002212
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001826,0.0023049999999999998,0.00182,0.002175,0.001843,0.002571
