Strategy,BBOX,100_points_worldwide,100k_points_worldwide,10_points_worldwide,10k_points_worldwide,1k_points_worldwide,1m_points_worldwide
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002596,0.350026,0.001491,0.045533,0.009885999999999999,0.078678
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001364,0.014516999999999999,0.001308,0.004632,0.0017009999999999998,0.015717
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001341,0.008206999999999999,0.0013109999999999999,0.002294,0.0014559999999999998,0.046655999999999996
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0013139999999999998,0.001921,0.001315,0.0014449999999999999,0.001692,0.00361
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0013089999999999998,0.001686,0.001313,0.00142,0.001351,0.002317
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001357,0.0018839999999999998,0.00133,0.0013909999999999999,0.001339,0.0016539999999999999
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001326,0.001468,0.001584,0.001393,0.00132,0.0015739999999999999
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001305,0.00146,0.0012959999999999998,0.0014,0.001318,0.001573
GriddedMappablePoint,"[-180, -90, 180, 90]",0.002868,0.677619,0.001731,0.064674,0.0066289999999999995,7.772807
GriddedMappablePoint,"[113, -43, 153, -10]",0.0036309999999999997,0.7719159999999999,0.0017059999999999998,0.144277,0.021929,7.992494
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.004084,1.139653,0.001707,0.21201099999999998,0.023492,8.629025
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0036599999999999996,2.674465,0.001705,0.24878799999999998,0.023975999999999997,25.517107
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003646,2.729268,0.001736,0.250039,0.023972,29.441175
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0036469999999999996,2.786023,0.0017189999999999998,0.25104699999999996,0.023799999999999998,30.162671
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003671,2.764039,0.001709,0.249329,0.023778999999999998,29.45078
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0036309999999999997,2.883644,0.001699,0.260086,0.024238,31.629895
BoundMappablePoint,"[-180, -90, 180, 90]",0.002848,2.111202,0.001746,0.186131,0.015501,23.116938
BoundMappablePoint,"[113, -43, 153, -10]",0.0015949999999999998,0.032427,0.001504,0.004797,0.001862,0.42768799999999996
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001519,0.008603,0.001524,0.002169,0.001638,0.07203
