Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.003355,0.235699,0.0034149999999999996,0.038485,0.006611,2.357517
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0030689999999999997,0.537129,0.001552,0.057233,0.01069,1.178873
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001771,0.052413999999999995,0.0014219999999999999,0.011054999999999999,0.003663,0.006697
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001421,0.003496,0.0013549999999999999,0.001741,0.001465,0.020267999999999998
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001328,0.0017829999999999999,0.001366,0.001411,0.0014249999999999998,0.005513
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001348,0.0013859999999999999,0.001343,0.0016489999999999999,0.00172,0.0018479999999999998
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001645,0.0013759999999999998,0.0013469999999999999,0.001352,0.0013469999999999999,0.0015719999999999998
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001316,0.0013549999999999999,0.0013269999999999998,0.0013499999999999999,0.001359,0.001961
GriddedMappablePoint,"[-180, -90, 180, 90]",0.002105,0.6332369999999999,0.002175,0.055908,0.005325,8.079672
GriddedMappablePoint,"[113, -43, 153, -10]",0.0037939999999999996,0.745377,0.001733,0.061161,0.007509,8.331377
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.003637,0.6755289999999999,0.0017519999999999999,0.06781899999999999,0.013757,7.836887
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.003792,1.563841,0.0017419999999999998,0.24256,0.024775,9.122098
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0038239999999999997,2.612097,0.0017679999999999998,0.25631899999999996,0.02562,16.279337
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003789,2.868515,0.001749,0.25975899999999996,0.02522,29.515434
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003799,2.8671699999999998,0.001759,0.260085,0.025082,31.876338
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.00381,2.986094,0.001743,0.269399,0.025207999999999998,32.723763
BoundMappablePoint,"[-180, -90, 180, 90]",0.0031149999999999997,2.752784,0.002265,0.19458299999999998,0.017008,28.061995
BoundMappablePoint,"[113, -43, 153, -10]",0.0030169999999999997,2.115784,0.001707,0.188437,0.016416,23.494872
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001949,0.37866099999999997,0.0017419999999999998,0.03388,0.004637,4.421329
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0016209999999999998,0.004332,0.001558,0.0018319999999999999,0.001648,0.026765999999999998
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00155,0.001762,0.0015609999999999999,0.0016029999999999998,0.001622,0.003744
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0015459999999999998,0.001612,0.0015589999999999998,0.0015919999999999999,0.0015849999999999998,0.00187
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001555,0.001545,0.0015459999999999998,0.001593,0.001563,0.0017079999999999999
