Strategy,BBOX,100_points_australia,100k_points_australia,10_points_australia,10k_points_australia,1k_points_australia,1m_points_australia
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.001745,0.18656799999999998,0.001433,0.026001999999999997,0.003931,0.0059629999999999996
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002552,0.211994,0.001468,0.031296,0.007620999999999999,0.007462
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001709,0.040937,0.0013729999999999999,0.012806999999999999,0.003554,0.006568
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001375,0.0031539999999999997,0.0015899999999999998,0.0016339999999999998,0.001406,0.016902999999999998
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001298,0.0017729999999999998,0.001318,0.001367,0.001388,0.004434
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0012959999999999998,0.001366,0.0013189999999999999,0.001341,0.0013419999999999999,0.001847
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001286,0.001331,0.0013089999999999998,0.0013109999999999999,0.0013449999999999998,0.001573
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001295,0.0017499999999999998,0.00131,0.001292,0.001333,0.001529
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0019329999999999998,0.62498,0.0019099999999999998,0.054043,0.0045969999999999995,7.992678
GriddedMappablePoint,"[113, -43, 153, -10]",0.003149,0.6624559999999999,0.0017319999999999998,0.058719,0.006960999999999999,7.816027
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0035759999999999998,0.67833,0.001956,0.067241,0.013696,7.999461
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0036869999999999997,1.5779139999999998,0.001733,0.25118,0.023889999999999998,9.028092
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003705,2.556775,0.002327,0.268683,0.024193,15.831085
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003714,2.8545030000000002,0.001745,0.269178,0.024437,30.199697
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003686,2.8787149999999997,0.0019529999999999999,0.254,0.024420999999999998,30.176936
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003672,2.944677,0.0017209999999999999,0.262324,0.024333,32.243633
BoundMappablePoint,"[-180, -90, 180, 90]",0.002884,2.064014,0.0020469999999999998,0.210114,0.01595,23.236086
BoundMappablePoint,"[113, -43, 153, -10]",0.0029219999999999997,2.101102,0.001771,0.208,0.016014999999999998,22.877195
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001877,0.400478,0.0018299999999999998,0.032225,0.004553,4.414016
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.001594,0.003276,0.001529,0.0018009999999999999,0.001624,0.019582
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001532,0.001751,0.001776,0.0017989999999999998,0.001586,0.0036699999999999997
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.00154,0.001583,0.001534,0.001531,0.0015539999999999998,0.001856
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001542,0.001535,0.001811,0.001777,0.001535,0.001686
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0015559999999999999,0.001511,0.001514,0.0015149999999999999,0.001535,0.0016769999999999999
MappablePoint,"[-180, -90, 180, 90]",0.0025269999999999997,2.017586,0.001325,0.179509,0.015399999999999999,22.537303
MappablePoint,"[113, -43, 153, -10]",0.002564,2.012303,0.0013319999999999999,0.179256,0.015481,22.710439
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002515,2.065706,0.00134,0.177953,0.015783,22.47145
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002539,2.01127,0.001344,0.178593,0.015366,22.855199
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002531,2.010869,0.0013269999999999998,0.17842,0.015340999999999999,22.619613
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0025269999999999997,2.070953,0.001331,0.179234,0.015333999999999999,22.851214
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002522,2.01522,0.001326,0.179166,0.015721,22.430786
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002522,2.015213,0.0013269999999999998,0.179251,0.015915,22.440025
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.00227,0.8434189999999999,0.001926,0.060204999999999995,0.005344,8.70552
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.003503,0.7132259999999999,0.0020599999999999998,0.063622,0.007722,8.36148
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0023899999999999998,0.133372,0.0019149999999999998,0.011555,0.004382,1.553979
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0018549999999999999,0.0034939999999999997,0.001782,0.002538,0.001999,0.0083
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0017929999999999999,0.002143,0.001779,0.001846,0.0019749999999999998,0.003916
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.00179,0.001887,0.001794,0.001808,0.0019019999999999998,0.002267
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001789,0.001829,0.001789,0.0021,0.001878,0.002029
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001811,0.0018349999999999998,0.00178,0.0018169999999999998,0.001862,0.002009
