Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",326,332,325,331,328,334
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",324,332,325,329,327,333
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",611,623,606,618,614,624
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",11029,28305,1453,28112,27081,28500
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",2013,48962,184,47487,16238,49311
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,78878,45,9754,466,815263
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,2297,45,184,45,22847
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,184
GriddedMappablePoint,"[-180, -90, 180, 90]",186,189,185,188,187,190
GriddedMappablePoint,"[113, -43, 153, -10]",606,620,466,615,611,624
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",611,622,466,616,612,625
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",8496,18094,1312,16981,15856,18230
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",13418,118173,1453,116806,80576,119012
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14123,2238852,1453,1046180,135304,2268382
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14123,13072895,1453,1398263,140372,72825715
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14123,14077916,1453,1407837,140794,140777312
BoundMappablePoint,"[-180, -90, 180, 90]",14123,14077916,1453,1407837,140794,140777312
BoundMappablePoint,"[113, -43, 153, -10]",8066,8436050,1171,856788,83371,84098271
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",11445,11913233,1312,1199046,120952,119165674
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14123,14077916,1453,1407837,140794,140777312
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",2013,1773275,184,176291,18629,17651586
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,78878,45,9754,466,815263
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,2297,45,184,45,22847
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,184
MappablePoint,"[-180, -90, 180, 90]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[113, -43, 153, -10]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",14123,14077916,1453,1407837,140794,140777312
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",14123,14077916,1453,1407837,140794,140777312
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",186,187,185,188,187,190
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",324,332,325,328,327,616
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",609,621,466,616,613,625
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",8496,18087,1312,16984,15856,18230
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",1872,16715,184,16159,10463,16828
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",45,14548,45,7502,466,14787
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",45,2297,45,184,45,13271
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",45,45,45,45,45,184
