Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.003021,0.08191,0.002947,0.013039,0.004373,0.523667
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0014969999999999998,0.032771,0.001401,0.006156,0.002026,0.28582599999999997
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0015379999999999999,0.045445,0.001462,0.007847,0.002381,0.36993499999999996
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002389,0.056575999999999994,0.0015049999999999998,0.011479999999999999,0.005769,0.451399
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0015949999999999998,0.013795,0.001395,0.007045,0.004229999999999999,0.08982
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013629999999999998,0.009068,0.0013239999999999999,0.002451,0.001472,0.08121099999999999
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0013449999999999998,0.0017289999999999999,0.0013189999999999999,0.0014449999999999999,0.0013549999999999999,0.004576
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0013629999999999998,0.001389,0.0013369999999999999,0.00148,0.0016849999999999999,0.0014629999999999999
GriddedMappablePoint,"[-180, -90, 180, 90]",0.001942,0.396682,0.002104,0.041484,0.005207,4.163818
GriddedMappablePoint,"[113, -43, 153, -10]",0.001859,0.617714,0.0019679999999999997,0.054487999999999995,0.0044199999999999995,7.564504
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001833,0.6168549999999999,0.00162,0.054639999999999994,0.004523999999999999,7.650344
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0032159999999999997,0.694649,0.001995,0.060433999999999995,0.00739,7.782323
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003633,0.686132,0.001743,0.07384199999999999,0.016652,7.850035
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0037489999999999997,1.011868,0.002373,0.208315,0.02413,8.318961
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0038339999999999997,2.9358969999999998,0.001776,0.27683399999999997,0.024777,19.999602
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003754,2.953857,0.0019749999999999998,0.286962,0.046362999999999994,32.553555
BoundMappablePoint,"[-180, -90, 180, 90]",0.003085,2.468461,0.0021809999999999998,0.199398,0.01757,32.144469
BoundMappablePoint,"[113, -43, 153, -10]",0.002317,1.204301,0.001995,0.097866,0.010125,14.513819
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0029319999999999997,1.747144,0.001834,0.184804,0.014077,20.09936
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0029609999999999997,2.11191,0.001994,0.185719,0.016413999999999998,23.88842
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0018009999999999999,0.226703,0.001581,0.020676999999999997,0.0036209999999999997,2.746717
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001607,0.0109,0.0018939999999999999,0.002614,0.001673,0.127629
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.0015589999999999998,0.00187,0.0015559999999999999,0.001656,0.001681,0.005265
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001566,0.0016099999999999999,0.001802,0.0015719999999999998,0.0016669999999999999,0.001846
MappablePoint,"[-180, -90, 180, 90]",0.002699,2.498968,0.0023929999999999997,0.256205,0.016325,28.234423
MappablePoint,"[113, -43, 153, -10]",0.002624,2.085289,0.001356,0.201092,0.015705,22.8584
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002582,2.04494,0.0013679999999999999,0.205193,0.015702,22.936712
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002571,2.265829,0.001353,0.199653,0.015957,23.150166
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0026379999999999997,3.111381,0.0013629999999999998,0.205142,0.015536,23.384697
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0025889999999999997,3.002913,0.001359,0.183174,0.015614999999999999,23.773977
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002583,3.064192,0.0013759999999999998,0.18229399999999998,0.015718,23.367194
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0026,2.673448,0.001352,0.18267699999999998,0.015854,23.15478
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002387,0.594309,0.002133,0.048428,0.006026,4.35947
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.0027259999999999997,0.395132,0.002325,0.035198,0.00435,5.187873
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002232,0.557898,0.001986,0.052474,0.004771,6.562551
