Strategy,BBOX,100_points_brisbane,100k_points_brisbane,10_points_brisbane,10k_points_brisbane,1k_points_brisbane,1m_points_brisbane
CachedGriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.0014889999999999999,0.052693,0.0013549999999999999,0.009937,0.0024,0.453528
CachedGriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.001447,0.032608,0.001736,0.006095,0.001996,0.289545
CachedGriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.001516,0.044336,0.001401,0.007744999999999999,0.002339,0.369544
CachedGriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.020933,0.054681,0.001444,0.010837999999999999,0.005051,0.45436899999999997
CachedGriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.0015559999999999999,0.013141,0.0013289999999999999,0.010948999999999999,0.002913,0.08935599999999999
CachedGriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.0013679999999999999,0.008418,0.001313,0.0023469999999999997,0.001405,0.07342
CachedGriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001331,0.001678,0.0015789999999999999,0.001413,0.001312,0.0038889999999999997
CachedGriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.0013139999999999998,0.0013629999999999998,0.0012879999999999999,0.001767,0.0013189999999999999,0.00146
GriddedMappablePoint,"[-180, -90, 180, 90]",0.0017439999999999999,0.387884,0.001545,0.039813,0.004454,4.002968
GriddedMappablePoint,"[113, -43, 153, -10]",0.00207,0.641268,0.0015559999999999999,0.057616,0.004856,8.061413
GriddedMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.0018419999999999999,0.611632,0.0015789999999999999,0.055893,0.0044989999999999995,7.650389
GriddedMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002882,0.668793,0.001673,0.059164999999999995,0.0068579999999999995,7.7927219999999995
GriddedMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.003711,0.6845249999999999,0.001686,0.07221,0.015698,7.980161
GriddedMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.003601,0.9899509999999999,0.001705,0.199077,0.022838999999999998,8.346668
GriddedMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.003622,2.571875,0.001704,0.244553,0.023569,22.958455999999998
GriddedMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.003588,2.968048,0.0016849999999999999,0.254665,0.024489,31.715482
BoundMappablePoint,"[-180, -90, 180, 90]",0.0027879999999999997,2.049435,0.00174,0.22622299999999998,0.015331,22.915761
BoundMappablePoint,"[113, -43, 153, -10]",0.002283,1.188916,0.001632,0.09056299999999999,0.009642999999999999,14.006322
BoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002598,1.7287460000000001,0.001655,0.15645,0.013677,19.531627
BoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0030529999999999997,1.984948,0.001666,0.19708599999999998,0.015297999999999999,22.739167
BoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.001753,0.237562,0.0015539999999999998,0.019129999999999998,0.003427,2.657728
BoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001787,0.009696,0.001522,0.0025269999999999997,0.0017159999999999999,0.122845
BoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001513,0.0018239999999999999,0.001526,0.0016079999999999998,0.00164,0.004157
BoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002049,0.001562,0.001519,0.001537,0.001624,0.0017929999999999999
MappablePoint,"[-180, -90, 180, 90]",0.002444,2.059165,0.001452,0.17410499999999998,0.015286,22.226038
MappablePoint,"[113, -43, 153, -10]",0.002456,1.943194,0.001328,0.173194,0.015172,22.286917
MappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002448,1.91873,0.001318,0.17366199999999998,0.014759,22.250516
MappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.002434,2.964702,0.001322,0.17296499999999998,0.014650999999999999,22.197909
MappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.00245,2.881837,0.0012959999999999998,0.173488,0.014868999999999999,22.181478
MappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.002464,2.92449,0.00132,0.17189,0.014721999999999999,22.022119
MappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.002425,2.88317,0.0013369999999999999,0.173432,0.014764999999999999,22.25629
MappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.002454,1.9483929999999998,0.001338,0.171865,0.014679999999999999,22.207631
GriddedAndBoundMappablePoint,"[-180, -90, 180, 90]",0.002173,0.48256699999999997,0.001856,0.045273999999999995,0.005189,4.230312
GriddedAndBoundMappablePoint,"[113, -43, 153, -10]",0.002043,0.371561,0.0018859999999999999,0.031744999999999995,0.0038529999999999997,4.266099
GriddedAndBoundMappablePoint,"[137.834, -10.7, 153.513336, -28.17]",0.002142,0.55904,0.002202,0.053878999999999996,0.004761,6.784501
GriddedAndBoundMappablePoint,"[151.766402, -28.141693, 153.831832, -26.855379]",0.0032459999999999998,0.72492,0.002054,0.063125,0.007486,8.409962
GriddedAndBoundMappablePoint,"[152.557418, -27.738907, 153.266036, -27.271171]",0.002128,0.08390099999999999,0.001838,0.008789,0.0038239999999999997,0.970483
GriddedAndBoundMappablePoint,"[152.913787, -27.679941, 153.077209, -27.586867]",0.001795,0.030237999999999998,0.0020399999999999997,0.003243,0.0020239999999999998,0.063707
GriddedAndBoundMappablePoint,"[153.051803, -27.611664, 153.078582, -27.595387]",0.001782,0.002283,0.001769,0.0019979999999999998,0.0019,0.00498
GriddedAndBoundMappablePoint,"[153.077359, -27.597061, 153.080556, -27.596623]",0.001782,0.0018809999999999999,0.0017729999999999998,0.001892,0.001908,0.002131
